,#params,cola,mrpc,rte,sst2,stsb,wnli
FT,125M,60.51,89.3,78.52,94.09,90.37,56.34
1,3k,50.00955661137899,78.51307193438211,58.8447650273641,91.24617775281271,86.23207410176596,57.746477921803795
2,5k,39.06487276156743,72.38561908404031,59.446450074513756,92.8134560585022,48.520682752132416,56.807512044906616
5,10k,19.6504145860672,70.66993316014609,57.03970988591512,92.584099372228,82.96178976694742,56.338030099868774
10,19k,29.907303551832836,70.58823704719543,57.16004967689514,92.77522961298624,17.876732846101127,56.807512044906616
16,32k,18.980403741200767,71.89542651176453,55.35499254862467,92.66055226325989,32.893575727939606,56.807512044906616
32,75k,34.70117251078288,73.61111044883728,56.919376055399574,91.3226306438446,56.220449010531105,57.27699597676595
64,198k,42.78354446093242,77.3692806561788,55.35499354203542,88.73279988765717,61.95824146270752,58.21596384048462
128,591k,0.0,75.49019455909729,52.8279185295105,87.46177355448404,46.07114891211192,57.27699597676595
256,2M,0.0,68.38235259056091,52.70758271217346,87.15596397717795,7.751623044411342,56.807512044906616
512,7M,0.0,68.38235259056091,52.70758271217346,50.917428731918335,4.924226179718971,56.338030099868774
